প্রজেস্টেরন B-HORMONE
এর O
কম O
সাধারণ O
প্রভাব O
অন্তর্ভুক্ত O
হতে O
পারে: O
স্তনের O
পরিবর্তন O
যেমন O
স্রাব, O
ডিম্পলিং O
বা O
পিণ্ড,পেটে O
ব্যথা O
এবং O
ফোলাভাব,ঝাপসা O
দৃষ্টি,যোনি O
স্রাবের O
পরিবর্তন O

আমার O
ছেলে O
এর O
চোখ B-ORGAN
থেকে O
শুধু O
পানি B-COMMON_MEDICAL_TERMS
পরে O
আর O
অনেক O
ব্যথা B-SYMPTOM
করে O

ক্লোরফেনিরামাইন O
হল O
একটি O
অ্যান্টিহিস্টামাইন O
ড্রাগ O
যা O
বিভিন্ন O
ধরণের O
অ্যালার্জির O
প্রতিক্রিয়ার O
জন্য O
ব্যবহৃত O
হয়, O
যার O
মধ্যে O
রয়েছে O
মৌসুমী O
অ্যালার্জি, O
অ্যালার্জিক O
রাইনাইটিস, O
আমবাত O
এবং O
অ্যালার্জিক O
কনজেক্টিভাইটিস। O
এটি O
হিস্টামিনের O
প্রভাবকে O
অবরুদ্ধ O
করে O
কাজ O
করে, O
একটি O
রাসায়নিক O
যা O
শরীরে O
অ্যালার্জির O
প্রতিক্রিয়া O
সৃষ্টি O
করে। O
ক্লোরফেনিরামিন O
সাইনাস O
সংক্রমণ O
এবং O
হাঁচির O
মতো O
সাধারণ O
ঠান্ডা O
লক্ষণগুলির O
চিকিত্সার O
জন্য O
অতিরিক্ত O
কার্যকর। O

শ্বেত B-ORGAN
রক্তকণিকাগুলো I-ORGAN
দেহে O
রোগ O
প্রতিরোধব্যবস্থা O
গড়ে O
তোলে O
। O

আপনি O
যদি O
মেট্রোনিডাজল O
ডোজ O
ভুলে O
যেতে O
থাকেন, O
তাহলে O
একটি O
অনুস্মারক O
বা O
অ্যালার্ম O
সেট O
করা O
ভাল O
যাতে O
আপনার O
ওষুধ O
খাওয়ার O
সময় O
হলে O
বিজ্ঞপ্তিটি O
বেজে O
ওঠে। O
আপনি O
যেখানেই O
যান O
ওষুধটি O
বহন O
করুন O
যাতে O
আপনি O
এটি O
মিস O
না O
করেন। O

আমার O
মা O
এর O
স্তন B-ORGAN
এ O
প্রচন্ড O
ব্যথা B-SYMPTOM
করে O
প্রায় O
এক O
মাস O
ধরে O
আর O
স্তন B-ORGAN
গুলো O
আস্তে O
আস্তে O
বড় O
হচ্ছে O

বেনাড্রিল O
(ডিফেনহাইড্রামিন) O
একটি O
অ্যান্টিহিস্টামিন B-PHARMACOLOGICAL_CLASS
যা O
অ্যালার্জির O
লক্ষণগুলি O
যেমন O
হাঁচি, O
চুলকানি, O
জলযুক্ত O
চোখ O
এবং O
নাক O
দিয়ে O
পানি O
পড়া O
কমাতে O
ব্যবহৃত O
হয়। O

গর্ভাবস্থায় O
ও O
স্তন্যদানকারী O
মায়েদের O
ক্ষেত্রে O
ক্লোরফেনিরামিন O
এর O
ব্যবহার O
পরিহার O
করা O
উচিত, O
বিশেষ O
করে O
প্রথম O
ট্রাইমেস্টার O
থেকে। O

আমার O
বাবা O
এর O
চোখ B-ORGAN
এ O
ছানি B-SYMPTOM
পরেছে O
মাকড়শা O
এর O
জাল B-SYMPTOM
এর O
মত O
দেখে O
ঠিকমত O
দেখতে O
পারে O
না O

সেফিক্সাইম O
হল O
একটি O
অ্যান্টিবায়োটিক B-PHARMACOLOGICAL_CLASS
যা O
ব্যাকটেরিয়া O
সংক্রমণের O
বিস্তৃত O
পরিসরের O
জন্য O
ব্যবহৃত O
হয়। O
এটি O
তীব্র O
(স্বল্পমেয়াদী) O
ব্যাকটেরিয়া O
সংক্রমণ O
যেমন O
কানের O
সংক্রমণের O
চিকিত্সার O
জন্য O
ব্যবহৃত O
হয়, O
বুকে O
এবং O
গলা O
সংক্রমণ, O
এবং O
মূত্রনালীর O
সংক্রমণ। O
কার্যকারক O
অণুজীব O
নির্মূল O
করে, O
সেফিক্সাইম O
এই O
সংক্রমণ O
থেকে O
মুক্তি O
দিতে O
সাহায্য O
করে। O

মস্তিষ্ক B-ORGAN
থেকে O
প্রান্তিক B-ORGAN
স্নায়ু I-ORGAN
পর্যন্ত O
আমাদের O
শরীরের O
সব O
সংকেত O
এই O
স্পাইনাল B-ORGAN
কর্ড I-ORGAN
হয়ে O
প্রবাহিত O
হয় O
। O

আমার O
আব্বু O
এর O
শরীর B-ORGAN
এর O
জয়েন্ট O
এ O
জয়েন্ট O
এ O
অনেক O
ব্যথা B-SYMPTOM
করে O

আমার O
ভাই O
এর O
ডান B-COMMON_MEDICAL_TERMS
গাল B-ORGAN
ফুলে B-SYMPTOM
লাল B-COMMON_MEDICAL_TERMS
হয়ে O
আছে O
আর O
এই O
মুখ B-ORGAN
এর O
জায়গা O
টায় O
হলদে B-COMMON_MEDICAL_TERMS
পুঁজ B-COMMON_MEDICAL_TERMS
জমে O
আছে O

আমার O
মেয়ে O
এর O
শরীর B-ORGAN
এ O
কালো B-COMMON_MEDICAL_TERMS
দাগ B-SYMPTOM
পরে O
যাচ্ছে O

আইসোনিয়াজিড O
একটি O
অ্যান্টিটিউবারকুলার B-PHARMACOLOGICAL_CLASS
ঔষধ O
যা O
যক্ষ্মা O
(টিবি) O
